district,date,max_apparent_temp,mean_apparent_temp,max_temperature,min_temperature,night_min_temperature,mean_humidity,mean_wind_speed,max_shortwave_radiation,total_precipitation,heat_hours_30,heat_hours_apparent_35,weather_source,hourly_coverage,hot_day,heatwave_streak,month,day_of_year,month_sin,month_cos,max_apparent_temp_median,max_apparent_temp_mad,max_apparent_temp_p98,max_temperature_median,max_temperature_mad,max_temperature_p98,night_min_temperature_median,night_min_temperature_mad,night_min_temperature_p98,mean_humidity_median,mean_humidity_mad,mean_humidity_p98,max_shortwave_radiation_median,max_shortwave_radiation_mad,max_shortwave_radiation_p98,apparent_anomaly_z,temperature_anomaly_z,night_anomaly_z,humidity_anomaly_z,radiation_anomaly_z,heat_hours_apparent_35_scaled,heatwave_streak_scaled
Charlottenburg-Wilmersdorf,2025-08-01,26.099652814623383,21.689101628356557,26.327211364719663,16.236649719428964,16.236649719428964,59.386626984126984,4.2967485532694125,656.2414285714285,1.0485714285714285,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,1.555979271272175,1.7542996802191195,2.746251439877376,0.0,1.5185546852244134,0.0,0.0
Charlottenburg-Wilmersdorf,2025-08-02,26.062544685168756,22.075681370283263,26.328509533213925,15.975974277256682,15.975974277256682,59.386626984126984,4.2279491495084605,656.2414285714285,1.0485714285714285,0,0,synthetic_demo_forecast,24,False,0,8,214,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,1.5381013495445985,1.7549680791913513,2.616012049530946,0.0,1.5185546852244134,0.0,0.0
Charlottenburg-Wilmersdorf,2025-08-03,34.302492575908275,29.94390477070348,35.09738472478466,25.8364467737462,25.8364467737462,47.92481456442375,4.659910501978904,656.2414285714285,1.0485714285714285,12,0,synthetic_demo_forecast,24,True,1,8,215,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,5.507936143024926,6.269872878976091,7.54252877764598,0.0,1.5185546852244134,0.0,0.2
Charlottenburg-Wilmersdorf,2025-08-04,38.466599762037234,34.57844502729666,39.25337791970951,29.877812326040587,29.877812326040587,40.84102491637149,4.503382104183503,656.2414285714285,1.0485714285714285,23,10,synthetic_demo_forecast,24,True,2,8,216,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,7.514116013392115,8.0,8.0,0.0,1.5185546852244134,0.8333333333333334,0.4
Charlottenburg-Wilmersdorf,2025-08-05,38.28633338199396,34.34177602831458,39.05160114787251,29.602412465457558,29.602412465457558,40.84102491637149,4.3384668755883755,656.2414285714285,1.0485714285714285,23,11,synthetic_demo_forecast,24,True,3,8,217,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,7.427267436546771,8.0,8.0,0.0,1.5185546852244134,0.9166666666666666,0.6
Charlottenburg-Wilmersdorf,2025-08-06,32.91292951860452,29.33798323779755,33.66089057677695,24.867469170165798,24.867469170165798,47.92481456442375,4.537425152746068,656.2414285714285,1.0485714285714285,11,0,synthetic_demo_forecast,24,True,4,8,218,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,4.838473684552478,5.530253009607081,7.058405488938753,0.0,1.5185546852244134,0.0,0.8
Charlottenburg-Wilmersdorf,2025-08-07,25.973877033029073,21.625401434006246,26.35666616542411,15.625844268693635,15.625844268693635,59.386626984126984,4.425939560675965,656.2414285714285,1.0485714285714285,0,0,synthetic_demo_forecast,24,False,0,8,219,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,1.4953831266640973,1.7694653221255117,2.4410791196115116,0.0,1.5185546852244134,0.0,0.0
Friedrichshain-Kreuzberg,2025-08-01,26.6669519667188,22.1440172225587,26.922927591738336,16.447886556878213,16.447886556878213,58.49950396825397,4.543451228087551,659.5557142857143,1.418095238095238,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.85,1.1699999999999982,28.070400000000003,23.94,1.1799999999999997,28.3036,11.35,1.1899999999999995,15.4244,62.49625,1.1541666666666686,66.26733333333333,544.1,54.049999999999955,639.7536,1.6239385225993614,1.705048387131594,2.889476786112868,0.0,1.4407735876870358,0.0,0.0
Friedrichshain-Kreuzberg,2025-08-02,26.715029204060816,22.460302738871835,27.050456171910774,17.853456367730804,17.853456367730804,58.49950396825397,4.411997725236351,659.5557142857143,1.418095238095238,0,0,synthetic_demo_forecast,24,False,0,8,214,-0.8660254037844384,-0.5000000000000004,23.85,1.1699999999999982,28.070400000000003,23.94,1.1799999999999997,28.3036,11.35,1.1899999999999995,15.4244,62.49625,1.1541666666666686,66.26733333333333,544.1,54.049999999999955,639.7536,1.6516544647603477,1.77794402178878,3.6861522896585304,0.0,1.4407735876870358,0.0,0.0
Friedrichshain-Kreuzberg,2025-08-03,35.51828039169239,30.64277045278183,36.045285743562275,26.316351458127418,26.316351458127418,47.03769154855075,4.583918132561785,659.5557142857143,1.418095238095238,13,1,synthetic_demo_forecast,24,True,1,8,215,-0.8660254037844384,-0.5000000000000004,23.85,1.1699999999999982,28.070400000000003,23.94,1.1799999999999997,28.3036,11.35,1.1899999999999995,15.4244,62.49625,1.1541666666666686,66.26733333333333,544.1,54.049999999999955,639.7536,6.726621626648272,6.919409639708915,8.0,0.0,1.4407735876870358,0.08333333333333333,0.2
