district,date,max_apparent_temp,mean_apparent_temp,max_temperature,min_temperature,night_min_temperature,mean_humidity,mean_wind_speed,max_shortwave_radiation,total_precipitation,heat_hours_30,heat_hours_apparent_35,weather_source,hourly_coverage,hot_day,heatwave_streak,month,day_of_year,month_sin,month_cos,max_apparent_temp_median,max_apparent_temp_mad,max_apparent_temp_p98,max_temperature_median,max_temperature_mad,max_temperature_p98,night_min_temperature_median,night_min_temperature_mad,night_min_temperature_p98,mean_humidity_median,mean_humidity_mad,mean_humidity_p98,max_shortwave_radiation_median,max_shortwave_radiation_mad,max_shortwave_radiation_p98,apparent_anomaly_z,temperature_anomaly_z,night_anomaly_z,humidity_anomaly_z,radiation_anomaly_z,heat_hours_apparent_35_scaled,heatwave_streak_scaled
Charlottenburg-Wilmersdorf,2018-01-01,7.16,0.8683333333333333,6.84,-9.04,-9.04,76.85583333333334,4.26,79.42,1.14,0,0,synthetic_demo,24,False,0,1,1,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.0,0.0,0.35275621004501084,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-02,8.34,0.90625,7.76,-5.78,-5.78,77.44,4.0529166666666665,74.76,0.0,0,0,synthetic_demo,24,False,0,1,2,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.4470462010484415,0.26483072764725163,0.0,0.7833737167782366,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-03,7.8,0.7983333333333333,7.23,-6.74,-6.74,80.10041666666666,4.6775,84.61,0.0,0,0,synthetic_demo,24,False,0,1,3,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.023528747423602368,0.0,0.0,2.7444955288265023,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-04,6.71,1.0191666666666668,5.92,-7.05,-7.05,78.31041666666667,4.751666666666666,92.76,3.8,0,0,synthetic_demo,24,False,0,1,4,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.0,0.0,1.424999944713844,0.4510027764858429,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-05,7.57,1.7195833333333335,7.18,-6.23,-6.23,76.69208333333333,3.7383333333333333,84.32,0.71,0,0,synthetic_demo,24,False,0,1,5,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.0,0.0,0.2320481642916821,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-06,6.15,1.4675,5.15,-4.3,-4.0,77.67708333333333,4.139583333333333,112.39,0.0,0,0,synthetic_demo,24,False,0,1,6,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.0,0.5795875370376776,0.9581393097391533,1.58023549363088,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-07,7.42,1.1279166666666667,6.56,-6.92,-6.43,76.21875,5.139166666666667,82.7,0.0,0,0,synthetic_demo,24,False,0,1,7,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-08,6.85,0.7120833333333333,6.56,-6.99,-6.99,78.16416666666667,6.763750000000001,95.19,0.0,0,0,synthetic_demo,24,False,0,1,8,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.0,0.0,1.3171919954532458,0.5907906268507147,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-09,7.46,2.5275,7.05,-5.88,-5.88,76.02291666666666,3.8725,85.63,2.73,0,0,synthetic_demo,24,False,0,1,9,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.0,0.0,0.0,0.040843363686855295,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-10,7.69,1.24125,7.58,-8.02,-8.02,73.98333333333333,4.041250000000001,103.95,4.4,0,0,synthetic_demo,24,False,0,1,10,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.0,0.11586344334567253,0.0,0.0,1.094717198536427,0.0,0.0
Charlottenburg-Wilmersdorf,2018-01-11,8.44,1.4866666666666666,8.01,-5.3,-4.82,75.635,4.897083333333334,84.72,0.0,0,0,synthetic_demo,24,False,0,1,11,0.49999999999999994,0.8660254037844387,7.77,0.8599999999999994,10.8448,7.44,0.815,10.306000000000001,-4.855,0.9949999999999999,-1.8237999999999994,76.37729166666668,0.9150000000000134,78.93979166666668,84.92,11.725000000000001,122.1126,0.5254753591271152,0.4717297336216673,0.02372580560972958,0.0,0.0,0.0,0.0
