district,date,max_apparent_temp,mean_apparent_temp,max_temperature,min_temperature,night_min_temperature,mean_humidity,mean_wind_speed,max_shortwave_radiation,total_precipitation,heat_hours_30,heat_hours_apparent_35,weather_source,hourly_coverage,hot_day,heatwave_streak,month,day_of_year,month_sin,month_cos,max_apparent_temp_median,max_apparent_temp_mad,max_apparent_temp_p98,max_temperature_median,max_temperature_mad,max_temperature_p98,night_min_temperature_median,night_min_temperature_mad,night_min_temperature_p98,mean_humidity_median,mean_humidity_mad,mean_humidity_p98,max_shortwave_radiation_median,max_shortwave_radiation_mad,max_shortwave_radiation_p98,apparent_anomaly_z,temperature_anomaly_z,night_anomaly_z,humidity_anomaly_z,radiation_anomaly_z,heat_hours_apparent_35_scaled,heatwave_streak_scaled,isolation_forest_raw,isolation_forest_percentile,robust_covariance_raw,robust_covariance_percentile,anomaly_score,model_disagreement,latitude,longitude,population_density_per_km2,share_age_65_plus_pct,green_space_pct,impervious_surface_pct,source_quality,apparent_heat_score,night_heat_score,duration_score,heat_hours_score,anomaly_component_score,hazard_score,exposure_score,age_vulnerability_score,impervious_score,low_green_score,vulnerability_score,hazard_contribution,exposure_contribution,vulnerability_contribution,risk_score,risk_level,recommendation,dominant_driver,generated_at_utc,pipeline_mode
Friedrichshain-Kreuzberg,2025-08-01,26.6669519667188,22.1440172225587,26.922927591738336,16.447886556878213,16.447886556878213,58.49950396825397,4.543451228087551,659.5557142857143,1.418095238095238,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.85,1.1699999999999982,28.070400000000003,23.94,1.1799999999999997,28.3036,11.35,1.1899999999999995,15.4244,62.49625,1.1541666666666686,66.26733333333333,544.1,54.049999999999955,639.7536,1.6239385225993614,1.705048387131594,2.889476786112868,0.0,1.4407735876870358,0.0,0.0,0.579255148907003,0.9678333333333333,48.98610960351367,0.9568888888888889,96.455,1.0944444444444423,52.4996,13.4314,14100,10.7,18.0,73.0,demo_seed_replace_with_official_aggregation,14.816399815104436,4.071695971620121,0.0,0.0,96.455,25.08749433102957,100.0,0.0,100.0,100.0,60.0,13.798121882066265,20.0,15.0,48.79812188206627,High,Target warnings; review outdoor work and event schedules.,population exposure,2026-08-04T20:45:56.440844+00:00,demo
Mitte,2025-08-01,26.112652527145944,21.849838777427507,26.347594366895024,16.520804200076967,16.520804200076967,58.952222222222225,4.268525328236541,657.2471428571429,1.227142857142857,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.36,1.3200000000000003,29.20200000000001,23.46,1.3599999999999994,29.34680000000001,11.25,1.2599999999999998,16.2616,62.77333333333333,1.1225000000000023,66.10768333333333,537.68,49.65000000000009,643.0228000000001,1.4065444648559369,1.4320997923436491,2.821514863462176,0.0,1.6243088216346573,0.0,0.0,0.5807774493687811,0.9686666666666667,43.59957879485439,0.9485,96.26166666666666,2.0166666666666666,52.52,13.405,9800,15.2,22.0,67.0,demo_seed_replace_with_official_aggregation,11.73695848414413,4.7345836370633325,0.0,0.0,96.26166666666666,24.070456348343278,65.3225806451613,33.83458646616541,86.66666666666667,90.2439024390244,66.4281435295556,13.238750991588804,13.06451612903226,16.6070358823889,42.910303003009965,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Neukölln,2025-08-01,27.212450435954302,21.702538046824568,27.538915482770296,16.741587717738874,16.741587717738874,59.29053571428572,4.354150336994803,657.1914285714286,1.5738095238095238,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.2,1.1799999999999997,29.058000000000014,23.27,1.1799999999999997,28.894400000000008,11.17,1.1899999999999995,16.2056,62.46333333333333,1.1300000000000026,66.12825000000001,545.87,55.24000000000001,652.9196000000001,2.2935260524652663,2.440122072978927,3.1579701102757682,0.0,1.359255519608298,0.0,0.0,0.635114025952079,0.9860555555555556,74.22563200460472,0.9773333333333334,98.34388888888888,0.8722222222222187,52.4408,13.4445,7200,15.0,24.0,64.0,demo_seed_replace_with_official_aggregation,17.846946866412793,6.741706524898851,0.0,0.0,98.34388888888888,26.926465159757083,44.354838709677416,32.330827067669176,80.0,85.36585365853658,62.27379424170182,14.809555837866396,8.870967741935484,15.568448560425455,39.24897214022734,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Tempelhof-Schöneberg,2025-08-01,26.318085228356026,21.923017457494414,26.446077783699995,16.38279441820092,16.38279441820092,58.87902777777777,4.4938013817027445,648.8204761904761,1.1357142857142857,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.35,1.3099999999999987,29.068800000000003,23.49,1.3699999999999974,29.3016,11.03,1.4000000000000004,17.6908,63.09458333333333,1.34375,66.0773,544.59,45.049999999999955,668.344,1.5282030991336795,1.4553628827735068,2.5788645517531554,0.0,1.5605436858228963,0.0,0.0,0.5659917518586389,0.9602222222222222,37.05628980325277,0.9317777777777778,95.16888888888889,2.8444444444444383,52.4406,13.3737,6700,20.3,29.0,58.0,demo_seed_replace_with_official_aggregation,12.878251268644586,3.479949256371998,0.0,0.0,95.16888888888889,24.063158110259184,40.32258064516129,72.18045112781955,66.66666666666667,73.17073170731707,70.49819671129042,13.234736960642552,8.064516129032258,17.624549177822605,38.923802267497415,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Charlottenburg-Wilmersdorf,2025-08-01,26.099652814623383,21.689101628356557,26.327211364719663,16.236649719428964,16.236649719428964,59.386626984126984,4.2967485532694125,656.2414285714285,1.0485714285714285,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,22.87,1.4000000000000021,27.7716,22.92,1.3100000000000023,27.882400000000004,10.74,1.3499999999999996,14.570400000000003,63.135,1.3266666666666609,66.60005,550.11,47.139999999999986,642.7468,1.555979271272175,1.7542996802191195,2.746251439877376,0.0,1.5185546852244134,0.0,0.0,0.5776127877580044,0.9671666666666666,49.52381724604276,0.9577777777777777,96.43499999999999,0.9388888888888891,52.5079,13.2638,5300,22.1,34.0,53.0,demo_seed_replace_with_official_aggregation,11.664737859018793,2.1513610857178573,0.0,0.0,96.43499999999999,23.692362413514253,29.032258064516128,85.71428571428572,55.55555555555556,60.97560975609756,68.97406116918313,13.03079932743284,5.806451612903226,17.243515292295783,36.080766232631845,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Lichtenberg,2025-08-01,26.4487947880063,21.58229564683519,26.738700277804636,16.033038839419145,16.033038839419145,59.40160714285714,4.3760365626882285,669.0704761904761,1.3033333333333335,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.21,1.2100000000000009,29.260400000000004,23.35,1.3099999999999987,29.4452,11.12,1.1799999999999997,17.273600000000002,62.86375,1.3191666666666677,66.4736,537.78,52.25999999999999,654.5752,1.805402608554715,1.7447687206221367,2.808304489947314,0.0,1.6944931687286284,0.0,0.0,0.5986819461587842,0.9765555555555555,46.98375113275863,0.9543888888888888,96.99055555555555,2.216666666666667,52.5322,13.5119,5500,18.6,32.0,52.0,demo_seed_replace_with_official_aggregation,13.604415488923886,0.30035308562859275,0.0,0.0,96.99055555555555,24.20470949507876,30.64516129032258,59.39849624060152,53.333333333333336,65.85365853658536,58.88947979705362,13.312590222293318,6.129032258064516,14.722369949263404,34.16399242962124,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Marzahn-Hellersdorf,2025-08-01,25.562969873439425,21.310261031163737,25.93821218781943,16.61948724551147,16.61948724551147,59.68172619047619,4.569150122942372,659.167619047619,0.986904761904762,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.13,1.3000000000000007,29.3636,23.24,1.389999999999997,29.524800000000003,10.62,1.3099999999999987,16.514000000000003,63.31,1.1412499999999994,66.3952,546.13,52.58000000000004,652.3324,1.2623197674767945,1.309294379705999,3.0890066478589167,0.0,1.450034794995332,0.0,0.0,0.5720154176523384,0.9637777777777777,50.60185576645119,0.9589444444444445,96.23277777777777,0.4833333333333245,52.5223,13.5754,4100,20.2,39.0,45.0,demo_seed_replace_with_official_aggregation,8.68316596355236,5.63170223192244,0.0,0.0,96.23277777777777,23.130418977587247,19.35483870967742,71.42857142857143,37.77777777777778,48.78048780487805,53.98877274487031,12.721730437672987,3.870967741935484,13.497193186217578,30.08989136582605,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Pankow,2025-08-01,26.77847470668125,21.926499179382322,27.087705458987877,17.17166437105441,17.17166437105441,59.19343253968254,4.28971929960712,660.1990476190476,0.8480952380952381,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,23.02,1.25,26.4356,23.08,1.2999999999999972,26.7812,10.75,1.2699999999999996,13.775200000000002,63.09458333333333,1.1216666666666697,66.75355,536.45,52.14000000000004,648.4684000000001,2.028045167506409,2.079354075993259,3.4105143927057338,0.0,1.6008360014015477,0.0,0.0,0.6301921991009056,0.9852777777777778,71.44403265617109,0.9762222222222222,98.2561111111111,0.9055555555555594,52.5929,13.4317,4100,16.0,35.0,48.0,demo_seed_replace_with_official_aggregation,15.43597059267362,10.651494282312804,0.0,0.0,98.2561111111111,26.65153607200491,19.35483870967742,39.84962406015038,44.44444444444444,58.53658536585366,46.12955152107912,14.658344839602702,3.870967741935484,11.53238788026978,30.061700461807966,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Reinickendorf,2025-08-01,25.702580448110407,21.703129567164552,25.880970015230027,16.36655874368116,16.36655874368116,59.572876984126985,4.10430572785966,643.6166666666667,0.9864285714285714,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,22.6,1.2699999999999996,27.372000000000003,22.61,1.2699999999999996,27.47200000000001,10.4,1.2599999999999998,14.820000000000007,63.29125,1.2833333333333314,67.18086666666667,542.97,50.90999999999997,647.9484000000001,1.647765230537971,1.7371961022028914,3.1939593162597033,0.0,1.3334363904692152,0.0,0.0,0.5899110759836295,0.9731111111111111,59.3102547178004,0.9681111111111111,97.16111111111111,0.5000000000000004,52.6048,13.2953,3000,22.4,49.0,37.0,demo_seed_replace_with_official_aggregation,9.458780267280039,3.332352215283278,0.0,0.0,97.16111111111111,23.242648148062727,10.483870967741936,87.96992481203007,20.0,24.390243902439025,48.28553090042179,12.7834564814345,2.0967741935483875,12.071382725105448,26.951613400088334,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
Steglitz-Zehlendorf,2025-08-01,24.83463815910919,20.689381088866632,24.852500598278283,15.251578251033013,15.251578251033013,60.35525793650794,4.46705166442904,665.1614285714286,1.885,0,0,synthetic_demo_forecast,24,False,0,8,213,-0.8660254037844384,-0.5000000000000004,22.62,1.2300000000000004,29.5196,22.59,1.2199999999999989,29.700400000000002,10.18,1.450000000000001,16.485600000000005,63.705000000000005,1.2437500000000057,67.11735,541.55,54.66999999999996,650.4988000000001,1.2144333121165893,1.2508489728270258,2.35912597674775,0.0,1.5250551735344773,0.0,0.0,0.5402705239030376,0.9357777777777778,30.08966118500581,0.9040555555555555,92.62611111111111,3.172222222222232,52.4295,13.2588,3100,24.0,48.0,36.0,demo_seed_replace_with_official_aggregation,4.636878661717721,0.0,0.0,0.0,92.62611111111111,20.148129753823426,11.290322580645162,100.0,17.77777777777778,26.829268292682926,52.929539295392956,11.081471364602885,2.2580645161290325,13.232384823848239,26.571920704580158,Moderate,Publish heat-safety guidance and verify cooling resources.,climate anomaly,2026-08-04T20:45:56.440844+00:00,demo
