district,date,max_apparent_temp,mean_apparent_temp,max_temperature,min_temperature,night_min_temperature,mean_humidity,mean_wind_speed,max_shortwave_radiation,total_precipitation,heat_hours_30,heat_hours_apparent_35,weather_source,hourly_coverage,hot_day,heatwave_streak,month,day_of_year,month_sin,month_cos,max_apparent_temp_median,max_apparent_temp_mad,max_apparent_temp_p98,max_temperature_median,max_temperature_mad,max_temperature_p98,night_min_temperature_median,night_min_temperature_mad,night_min_temperature_p98,mean_humidity_median,mean_humidity_mad,mean_humidity_p98,max_shortwave_radiation_median,max_shortwave_radiation_mad,max_shortwave_radiation_p98,apparent_anomaly_z,temperature_anomaly_z,night_anomaly_z,humidity_anomaly_z,radiation_anomaly_z,heat_hours_apparent_35_scaled,heatwave_streak_scaled
Charlottenburg-Wilmersdorf,2026-08-29,23.6,20.162499999999998,25.8,17.2,18.2,60.5,10.15,657.0,0.0,0,0,forecast,24,False,0,8,241,-0.8660254037844384,-0.5000000000000004,24.9,4.0,34.668000000000006,25.2,3.3000000000000007,34.668000000000006,16.1,2.099999999999998,22.0,66.33333333333333,8.166666666666671,86.82,664.0,64.0,772.6800000000001,0.0,0.1226346835411994,0.6744907594765952,0.0,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2026-08-30,23.3,20.358333333333334,24.7,18.0,18.1,63.541666666666664,11.924999999999999,533.0,0.1,0,0,forecast,24,False,0,8,242,-0.8660254037844384,-0.5000000000000004,24.9,4.0,34.668000000000006,25.2,3.3000000000000007,34.668000000000006,16.1,2.099999999999998,22.0,66.33333333333333,8.166666666666671,86.82,664.0,64.0,772.6800000000001,0.0,0.0,0.6423721518824722,0.0,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2026-08-31,22.9,19.558333333333334,24.5,17.2,17.5,66.29166666666667,9.487499999999999,517.0,1.48,0,0,forecast,24,False,0,8,243,-0.8660254037844384,-0.5000000000000004,24.9,4.0,34.668000000000006,25.2,3.3000000000000007,34.668000000000006,16.1,2.099999999999998,22.0,66.33333333333333,8.166666666666671,86.82,664.0,64.0,772.6800000000001,0.0,0.0,0.44966050631773014,0.0,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2026-09-01,19.1,16.7625,21.7,15.7,15.7,61.583333333333336,11.845833333333333,432.0,0.5,0,0,forecast,24,False,0,9,244,-1.0,-1.8369701987210297e-16,19.15,3.8500000000000014,30.345999999999997,20.6,3.3000000000000007,30.546,12.7,2.1000000000000014,20.565999999999992,72.0625,7.458333333333336,89.76499999999999,557.5,63.5,680.8199999999999,0.0,0.2248302531588646,0.9635582278237067,0.0,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2026-09-02,21.3,17.029166666666665,23.5,13.1,13.1,57.791666666666664,8.683333333333334,489.0,0.0,0,0,forecast,24,False,0,9,245,-1.0,-1.8369701987210297e-16,19.15,3.8500000000000014,30.345999999999997,20.6,3.3000000000000007,30.546,12.7,2.1000000000000014,20.565999999999992,72.0625,7.458333333333336,89.76499999999999,557.5,63.5,680.8199999999999,0.3766636708765404,0.5927343037824621,0.12847443037649434,0.0,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2026-09-03,20.2,16.870833333333334,23.1,16.1,16.4,61.375,14.304166666666667,390.0,5.3999999999999995,0,0,forecast,24,False,0,9,246,-1.0,-1.8369701987210297e-16,19.15,3.8500000000000014,30.345999999999997,20.6,3.3000000000000007,30.546,12.7,2.1000000000000014,20.565999999999992,72.0625,7.458333333333336,89.76499999999999,557.5,63.5,680.8199999999999,0.18395202531179874,0.5109778480883296,1.1883884809825713,0.0,0.0,0.0,0.0
Charlottenburg-Wilmersdorf,2026-09-04,19.7,16.116666666666667,21.4,15.8,15.8,64.20833333333333,13.504166666666668,235.0,0.30000000000000004,0,0,forecast,24,False,0,9,247,-1.0,-1.8369701987210297e-16,19.15,3.8500000000000014,30.345999999999997,20.6,3.3000000000000007,30.546,12.7,2.1000000000000014,20.565999999999992,72.0625,7.458333333333336,89.76499999999999,557.5,63.5,680.8199999999999,0.09635582278237084,0.1635129113882649,0.9956768354178307,0.0,0.0,0.0,0.0
Friedrichshain-Kreuzberg,2026-08-29,23.9,21.029166666666665,26.5,18.4,19.3,54.166666666666664,10.583333333333334,663.0,0.0,0,0,forecast,24,False,0,8,241,-0.8660254037844384,-0.5000000000000004,24.7,4.0,34.5,25.6,3.3999999999999986,35.34,16.2,2.299999999999999,22.612000000000005,63.833333333333336,8.5,88.00500000000001,656.0,70.0,780.08,0.0,0.17854167162615736,0.9090962410336726,0.0,0.06744907594765952,0.0,0.0
Friedrichshain-Kreuzberg,2026-08-30,24.0,21.175,25.6,18.8,19.1,58.166666666666664,12.533333333333333,610.0,0.0,0,0,forecast,24,False,0,8,242,-0.8660254037844384,-0.5000000000000004,24.7,4.0,34.5,25.6,3.3999999999999986,35.34,16.2,2.299999999999999,22.612000000000005,63.833333333333336,8.5,88.00500000000001,656.0,70.0,780.08,0.0,0.0,0.8504448706444037,0.0,0.0,0.0,0.0
Friedrichshain-Kreuzberg,2026-08-31,23.3,20.258333333333333,24.5,17.7,19.0,63.541666666666664,9.416666666666666,537.0,1.58,0,0,forecast,24,False,0,8,243,-0.8660254037844384,-0.5000000000000004,24.7,4.0,34.5,25.6,3.3999999999999986,35.34,16.2,2.299999999999999,22.612000000000005,63.833333333333336,8.5,88.00500000000001,656.0,70.0,780.08,0.0,0.0,0.8211191854497687,0.0,0.0,0.0,0.0
