district,latitude,longitude,population_density_per_km2,share_age_65_plus_pct,green_space_pct,impervious_surface_pct,source_quality
Charlottenburg-Wilmersdorf,52.5079,13.2638,5311.872004946669,23.19738086576937,36.98,40.89,official_sources_2026-08
Friedrichshain-Kreuzberg,52.4996,13.4314,14352.401960784315,11.329319065948516,14.12,68.14,official_sources_2026-08
Lichtenberg,52.5322,13.5119,6106.312356101305,18.782697220206057,30.43,42.35,official_sources_2026-08
Marzahn-Hellersdorf,52.5223,13.5754,4799.207376253639,22.194770920195356,21.95,39.73,official_sources_2026-08
Mitte,52.52,13.405,10098.451776649747,13.18164567619804,18.86,63.56,official_sources_2026-08
Neukölln,52.4408,13.4445,7380.881371021589,17.490946044152548,20.74,48.61,official_sources_2026-08
Pankow,52.5929,13.4317,4155.202480139508,15.082303567265097,41.03,31.95,official_sources_2026-08
Reinickendorf,52.6048,13.2953,3042.4876847290643,23.096171183602877,34.71,31.47,official_sources_2026-08
Spandau,52.5389,13.2034,2843.556813234654,20.716051839887317,37.03,30.68,official_sources_2026-08
Steglitz-Zehlendorf,52.4295,13.2588,3016.166146645866,25.88333796688412,32.96,29.99,official_sources_2026-08
Tempelhof-Schöneberg,52.4406,13.3737,6764.090480678606,21.28331963158555,14.42,51.78,official_sources_2026-08
Treptow-Köpenick,52.4349,13.5808,1804.602635187504,20.05048135691773,46.59,22.4,official_sources_2026-08
